date,ticker,ret
2014-07-01,XOM,-0.0173
2014-07-01,IBM,0.0574
2014-07-01,CVX,-0.01
2014-07-01,AAPL,0.0287
2014-07-01,UTX,-0.0892
2014-07-01,PG,-0.008
2014-07-01,DOW,-0.0076
2014-07-01,CAT,-0.0664
2014-07-01,WBA,-0.0723
2014-07-01,BA,-0.0531
2014-07-01,PFE,-0.0243
2014-07-01,JNJ,-0.0433
2014-07-01,MMM,-0.0164
2014-07-01,MRK,-0.0192
2014-07-01,DIS,0.0016
2014-07-01,MCD,-0.0613
2014-07-01,JPM,0.0078
2014-07-01,WMT,-0.0198
2014-07-01,NKE,-0.0054
2014-07-01,AXP,-0.0697
2014-07-01,INTC,0.0968
2014-07-01,TRV,-0.0479
2014-07-01,VZ,0.0413
2014-07-01,HD,-0.0014
2014-07-01,CSCO,0.0229
2014-07-01,GS,0.0324
2014-07-01,V,0.0014
2014-07-01,UNH,-0.0086
2014-08-01,MSFT,0.0591
2014-08-01,KO,0.0618
2014-08-01,XOM,0.0122
2014-08-01,IBM,0.009
2014-08-01,CVX,0.0099
2014-08-01,AAPL,0.0771
2014-08-01,UTX,0.0325
2014-08-01,PG,0.0749
2014-08-01,DOW,0.0486
2014-08-01,CAT,0.0826
2014-08-01,WBA,-0.1151
2014-08-01,BA,0.0585
2014-08-01,PFE,0.024
2014-08-01,JNJ,0.0434
2014-08-01,MMM,0.0281
2014-08-01,MRK,0.0594
2014-08-01,DIS,0.0466
2014-08-01,MCD,-0.0003
2014-08-01,JPM,0.0309
2014-08-01,WMT,0.0326
2014-08-01,NKE,0.0215
2014-08-01,AXP,0.0176
2014-08-01,INTC,0.037
2014-08-01,TRV,0.0575
2014-08-01,VZ,-0.0119
2014-08-01,HD,0.1565
2014-08-01,CSCO,-0.0095
2014-08-01,GS,0.0393
2014-08-01,V,0.0091
2014-08-01,UNH,0.0695
2014-09-01,MSFT,0.0205
2014-09-01,KO,0.0298
2014-09-01,XOM,-0.0544
2014-09-01,IBM,-0.0128
2014-09-01,CVX,-0.0783
2014-09-01,AAPL,-0.0171
2014-09-01,UTX,-0.022
2014-09-01,PG,0.0076
2014-09-01,DOW,-0.0138
2014-09-01,CAT,-0.0921
2014-09-01,WBA,-0.0207
2014-09-01,BA,0.0046
2014-09-01,PFE,0.0061
2014-09-01,JNJ,0.0276
2014-09-01,MMM,-0.0161
2014-09-01,MRK,-0.0065
2014-09-01,DIS,-0.0095
2014-09-01,MCD,0.0116
2014-09-01,JPM,0.0133
2014-09-01,WMT,0.0128
2014-09-01,NKE,0.1356
2014-09-01,AXP,-0.0224
2014-09-01,INTC,-0.0029
2014-09-01,TRV,-0.0023
2014-09-01,VZ,0.0034
2014-09-01,HD,-0.0138
2014-09-01,CSCO,0.0148
2014-09-01,GS,0.0249
2014-09-01,V,0.004
2014-09-01,UNH,-0.0006
2014-10-01,MSFT,0.0127
2014-10-01,KO,-0.0183
2014-10-01,XOM,0.0283
2014-10-01,IBM,-0.134
2014-10-01,CVX,0.0053
2014-10-01,AAPL,0.072
2014-10-01,UTX,0.0133
2014-10-01,PG,0.0498
2014-10-01,DOW,-0.058
2014-10-01,CAT,0.0311
2014-10-01,WBA,0.0835
2014-10-01,BA,-0.0194
2014-10-01,PFE,0.0129
2014-10-01,JNJ,0.0112
2014-10-01,MMM,0.0853
2014-10-01,MRK,-0.0226
2014-10-01,DIS,0.0264
2014-10-01,MCD,-0.0114
2014-10-01,JPM,0.0106
2014-10-01,WMT,-0.0026
2014-10-01,NKE,0.0423
2014-10-01,AXP,0.0305
2014-10-01,INTC,-0.0233
2014-10-01,TRV,0.073
2014-10-01,VZ,0.0162
2014-10-01,HD,0.063
2014-10-01,CSCO,-0.0278
2014-10-01,GS,0.035
2014-10-01,V,0.1315
2014-10-01,UNH,0.1016
2014-11-01,MSFT,0.0249
2014-11-01,KO,0.0777
2014-11-01,XOM,-0.0567
2014-11-01,IBM,-0.0069
2014-11-01,CVX,-0.0835
2014-11-01,AAPL,0.1056
2014-11-01,UTX,0.0343
2014-11-01,PG,0.0362
2014-11-01,DOW,-0.0148
2014-11-01,CAT,-0.008
2014-11-01,WBA,0.0736
2014-11-01,BA,0.0815
2014-11-01,PFE,0.0487
2014-11-01,JNJ,0.0109
2014-11-01,MMM,0.0467
2014-11-01,MRK,0.0425
2014-11-01,DIS,0.0124
2014-11-01,MCD,0.0419
2014-11-01,JPM,-0.0053
2014-11-01,WMT,0.1478
2014-11-01,NKE,0.068
2014-11-01,AXP,0.0275
2014-11-01,INTC,0.1019
2014-11-01,TRV,0.0362
2014-11-01,VZ,0.0068
2014-11-01,HD,0.0193
2014-11-01,CSCO,0.1295
2014-11-01,GS,-0.0052
2014-11-01,V,0.0714
2014-11-01,UNH,0.0381
2014-12-01,MSFT,-0.0284
2014-12-01,KO,-0.0582
2014-12-01,XOM,0.0211
2014-12-01,IBM,-0.0107
2014-12-01,CVX,0.0304
2014-12-01,AAPL,-0.0719
2014-12-01,UTX,0.0447
2014-12-01,PG,0.0073
2014-12-01,DOW,-0.0542
2014-12-01,CAT,-0.0902
2014-12-01,WBA,0.1106
2014-12-01,BA,-0.0326
